epithet,animal
audacious,Aardvark
alabaster,Albatross
alemannic,Alligator
altruistic,Alpaca
antagonistic,Ant
anticipating,Anteater
antipathic,Antelope
apatetic,Ape
armored,Armadillo
babbling,Baboon
badious,Badger
baric,Barracuda
bathing,Bat
barrelling,Bear
believing,Beaver
beaming,Bee
belittling,beetle
bifurcating,Bison
boring,Boar
buffeting,Buffalo
bustling,Butterfly
cadgy,Camel
,Caribou
,Caterpillar
,Chamois
,Cheetah
,Chicken
,Chimpanzee
,Chinchilla
,Chough
,Clam
,Cobra
,Cod
,Cormorant
,Coyote
,Crab
,Crane
,Crocodile
,Crow
,Curlew
,Deer
,Dog
,Dolphin
,Donkey
,Dotterel
,Dove
,Dragonfly
,Duck
,Dugong
,Dunlin
,Eagle
,Echidna
,Eel
,Eland
,Elephant
,Elk
,Emu
,Falcon
,Fish
,Flamingo
,Fly
,Fox
,Frog
,Galago
,Gaur
,Gazelle
,Gerbil
,Giraffe
,Gnat
,Gnu
,Goat
,Goldfinch
,Goldfish
,Goose
,Gorilla
,Goshawk
,Grasshopper
,Grouse
,Guanaco
,Guinea fowl
,Guinea pig
,Gull
,Hamster
,Hare
,Hawk
,Hedgehog
,Heron
,Herring
,Hippopotamus
,Hornet
,Horse
,Human
,Hummingbird
,Hyena
,Jackal
,Jaguar
,Jay
,Jellyfish
,Kangaroo
,Koala
,Komodo dragon
,Kouprey
,Kudu
,Lapwing
,Lark
,Lemur
,Leopard
,Lion
,Llama
,Lobster
,Locust
,Loris
,Lyrebird
,Magpie
,Mallard
,Manatee
,mantis
,Marten
,Meerkat
,Mink
,Mole
,Monkey
,Moose
,Mosquito
,Mouse
,Mule
,Narwhal
,Newt
,Nightingale
,Octopus
,Okapi
,Opossum
,Oryx
,Ostrich
,Otter
,Owl
,Ox
,Oyster
,Panther
,Parrot
,Partridge
,Peafowl
,Pelican
,Penguin
,Pheasant
,Pig
,Pigeon
,Porcupine
,Porpoise
,Prairie Dog
,Quail
,Quelea
,Rabbit
,Raccoon
,Rail
,Ram
,Rat
,Raven
,Red panda
,Reindeer
,Rhinoceros
,Rook
,Ruff
,Salamander
,Salmon
,Sand Dollar
,Sandpiper
,Sardine
,Scorpion
,Sea lion
,Sea Urchin
,Seahorse
,Seal
,Shark
,Sheep
,Shrew
,Shrimp
,Skunk
,Snail
,Snake
,sparrow
,Spider
,Squid
,Squirrel
,Starling
,Stingray
,Stork
,Swallow
,Swan
,Tapir
,Tarsier
,Termite
,Tiger
,Toad
,Trout
,Turkey
,Turtle
,Vicu–a
,Viper
,Vulture
,Wallaby
,Walrus
,wapiti
,Wasp
,Water buffalo
,Weasel
,Whale
,Wolf
,Wolverine
,Wombat
,Woodcock
,Woodpecker
,Worm
,Wren
,Yak
,Zebra